protein_code,protein_name,gene_names,Organism,Length,protein_names
A8MTJ3,GNAT3_HUMAN,GNAT3,Homo sapiens (Human),354,Guanine nucleotide-binding protein G(t) subunit alpha-3 (Gustducin alpha-3 chain)
O95837,GNA14_HUMAN,GNA14,Homo sapiens (Human),355,Guanine nucleotide-binding protein subunit alpha-14 (G alpha-14) (G-protein subunit alpha-14)
P04899,GNAI2_HUMAN,GNAI2 GNAI2B,Homo sapiens (Human),355,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)
P08754,GNAI3_HUMAN,GNAI3,Homo sapiens (Human),354,Guanine nucleotide-binding protein G(i) subunit alpha-3 (G(i) alpha-3)
P09471,GNAO_HUMAN,GNAO1,Homo sapiens (Human),354,Guanine nucleotide-binding protein G(o) subunit alpha (EC 3.6.5.-)
P11488,GNAT1_HUMAN,GNAT1 GNATR,Homo sapiens (Human),350,Guanine nucleotide-binding protein G(t) subunit alpha-1 (Transducin alpha-1 chain)
P19086,GNAZ_HUMAN,GNAZ,Homo sapiens (Human),355,Guanine nucleotide-binding protein G(z) subunit alpha (G(x) alpha chain) (Gz-alpha)
P19087,GNAT2_HUMAN,GNAT2 GNATC,Homo sapiens (Human),354,Guanine nucleotide-binding protein G(t) subunit alpha-2 (Transducin alpha-2 chain)
P29992,GNA11_HUMAN,GNA11 GA11,Homo sapiens (Human),359,Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (EC 3.6.5.-) (Guanine nucleotide-binding protein G(y) subunit alpha)
P30679,GNA15_HUMAN,GNA15 GNA16,Homo sapiens (Human),374,Guanine nucleotide-binding protein subunit alpha-15 (G alpha-15) (G-protein subunit alpha-15) (Epididymis tissue protein Li 17E) (Guanine nucleotide-binding protein subunit alpha-16) (G alpha-16) (G-protein subunit alpha-16)
P38405,GNAL_HUMAN,GNAL,Homo sapiens (Human),381,"Guanine nucleotide-binding protein G(olf) subunit alpha (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein, olfactory type)"
P50148,GNAQ_HUMAN,GNAQ GAQ,Homo sapiens (Human),359,Guanine nucleotide-binding protein G(q) subunit alpha (EC 3.6.5.-) (Guanine nucleotide-binding protein alpha-q)
P63092,GNAS2_HUMAN,GNAS GNAS1 GSP,Homo sapiens (Human),394,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein)
P63096,GNAI1_HUMAN,GNAI1,Homo sapiens (Human),354,Guanine nucleotide-binding protein G(i) subunit alpha-1 (EC 3.6.5.-) (Adenylate cyclase-inhibiting G alpha protein)
Q03113,GNA12_HUMAN,GNA12,Homo sapiens (Human),381,Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12)
Q14344,GNA13_HUMAN,GNA13,Homo sapiens (Human),377,Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)
Q5JWF2,GNAS1_HUMAN,GNAS GNAS1,Homo sapiens (Human),1037,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (EC 3.6.5.-) (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)
O14807,RASM_HUMAN,MRAS RRAS3,Homo sapiens (Human),208,Ras-related protein M-Ras (EC 3.6.5.2) (Ras-related protein R-Ras3)
P01111,RASN_HUMAN,NRAS HRAS1,Homo sapiens (Human),189,GTPase NRas (EC 3.6.5.2) (Transforming protein N-Ras)
P01112,RASH_HUMAN,HRAS HRAS1,Homo sapiens (Human),189,"GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]"
P01116,RASK_HUMAN,KRAS KRAS2 RASK2,Homo sapiens (Human),189,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]"
P08134,RHOC_HUMAN,RHOC ARH9 ARHC,Homo sapiens (Human),193,Rho-related GTP-binding protein RhoC (Rho cDNA clone 9) (h9)
P10301,RRAS_HUMAN,RRAS,Homo sapiens (Human),218,Ras-related protein R-Ras (EC 3.6.5.-) (p23)
P20339,RAB5A_HUMAN,RAB5A RAB5,Homo sapiens (Human),215,Ras-related protein Rab-5A (EC 3.6.5.2)
P61586,RHOA_HUMAN,RHOA ARH12 ARHA RHO12,Homo sapiens (Human),193,Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12) (h12)
P62070,RRAS2_HUMAN,RRAS2 TC21,Homo sapiens (Human),204,Ras-related protein R-Ras2 (EC 3.6.5.-) (Ras-like protein TC21) (Teratocarcinoma oncogene)
P62330,ARF6_HUMAN,ARF6,Homo sapiens (Human),175,ADP-ribosylation factor 6 (EC 3.6.5.2)
P62745,RHOB_HUMAN,RHOB ARH6 ARHB,Homo sapiens (Human),196,Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)
P62820,RAB1A_HUMAN,RAB1A RAB1,Homo sapiens (Human),205,Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)
P62826,RAN_HUMAN,RAN ARA24 OK/SW-cl.81,Homo sapiens (Human),216,GTP-binding nuclear protein Ran (EC 3.6.5.-) (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)
P84077,ARF1_HUMAN,ARF1,Homo sapiens (Human),181,ADP-ribosylation factor 1 (EC 3.6.5.2)
Q15154,PCM1_HUMAN,PCM1,Homo sapiens (Human),2024,Pericentriolar material 1 protein (PCM-1) (hPCM-1)
Q96D21,RHES_HUMAN,RASD2 TEM2,Homo sapiens (Human),266,GTP-binding protein Rhes (Ras homolog enriched in striatum) (Tumor endothelial marker 2)
Q9Y272,RASD1_HUMAN,RASD1 AGS1 DEXRAS1,Homo sapiens (Human),281,Dexamethasone-induced Ras-related protein 1 (Activator of G-protein signaling 1)
